base_strategy,strategy_name,lot_size,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown,win_rate,n_trades,profit_factor,avg_win,avg_loss,expectancy,gross_pnl,net_pnl,total_commission,template,params
BreakoutTrader_T1.8_SL10_TP20,BreakoutTrader_L5_T1.8_SL10_TP20,0.01,-8.53540483918705,-30.55110948802593,-1.0,-0.0034897,0.0034897,0.1194029850746268,67,0.3142525889681403,1.999,-0.8625254237288302,-0.5208507462686713,-34.830000000001,-34.897000000001,0.067,BreakoutTrader,"{'L': 5, 'T': 1.8, 'SL': 10, 'TP': 20}"
BreakoutTrader_T1.8_SL10_TP30,BreakoutTrader_L5_T1.8_SL10_TP30,0.01,-13.124350915788105,-42.35149089798152,-1.0,-0.0046897,0.0046897,0.044776119402985,67,0.160965398790565,2.999,-0.8733437500000154,-0.6999552238806117,-46.830000000001,-46.897000000001,0.067,BreakoutTrader,"{'L': 5, 'T': 1.8, 'SL': 10, 'TP': 30}"
BreakoutTrader_T1.8_SL10_TP40,BreakoutTrader_L5_T1.8_SL10_TP40,0.01,-19.679415853989624,-49.26038660580392,-1.0,-0.0053897,0.0053897,0.0149253731343283,67,0.0690721293353587,3.999,-0.8772121212121361,-0.8044328358209102,-53.830000000001,-53.897000000001,0.067,BreakoutTrader,"{'L': 5, 'T': 1.8, 'SL': 10, 'TP': 40}"
BreakoutTrader_T1.8_SL10_TP50,BreakoutTrader_L5_T1.8_SL10_TP50,0.01,-16.434670279971005,-48.34641390591704,-1.0,-0.0052897,0.0052897,0.0149253731343283,67,0.0863444797568038,4.999,-0.8772121212121361,-0.7895074626865818,-52.830000000001,-52.897000000001,0.067,BreakoutTrader,"{'L': 5, 'T': 1.8, 'SL': 10, 'TP': 50}"
BreakoutTrader_T1.8_SL15_TP30,BreakoutTrader_L5_T1.8_SL15_TP30,0.01,-8.010862390862714,-24.39332893759056,-1.0,-0.0049227,0.0049227,0.1194029850746268,67,0.327674510714427,2.999,-1.241000000000019,-0.7347313432835989,-49.16000000000111,-49.22700000000111,0.067,BreakoutTrader,"{'L': 5, 'T': 1.8, 'SL': 15, 'TP': 30}"
BreakoutTrader_T1.8_SL15_TP40,BreakoutTrader_L5_T1.8_SL15_TP40,0.01,-7.853095271247734,-26.19349454837057,-1.0,-0.0052227,0.0052227,0.0895522388059701,67,0.3147951351989562,3.999,-1.249524590163953,-0.779507462686584,-52.16000000000111,-52.22700000000111,0.067,BreakoutTrader,"{'L': 5, 'T': 1.8, 'SL': 15, 'TP': 40}"
BreakoutTrader_T1.8_SL15_TP50,BreakoutTrader_L5_T1.8_SL15_TP50,0.01,-6.189201929557145,-23.70088214663584,-0.9795371488403872,-0.0047257000000001,0.0048244214173955,0.0895522388059701,67,0.3800002623948728,4.827333333333338,-1.249524590163953,-0.7053283582089716,-47.19000000000108,-47.25700000000108,0.067,BreakoutTrader,"{'L': 5, 'T': 1.8, 'SL': 15, 'TP': 50}"
BreakoutTrader_T1.8_SL20_TP30,BreakoutTrader_L5_T1.8_SL20_TP30,0.01,-4.9924282737352135,-13.804398670963922,-0.9130483479166188,-0.0041727,0.0045700756258102,0.208955223880597,67,0.5015469520862882,2.999,-1.579490566037757,-0.6227910447761362,-41.66000000000111,-41.72700000000111,0.067,BreakoutTrader,"{'L': 5, 'T': 1.8, 'SL': 20, 'TP': 30}"
BreakoutTrader_T1.8_SL20_TP40,BreakoutTrader_L5_T1.8_SL20_TP40,0.01,-3.2812568045330197,-10.654829842658865,-0.7994197950349957,-0.0031726,0.0039686282722848,0.1969696969696969,66,0.6210146572216898,3.999000000000001,-1.579490566037757,-0.4806969696969864,-31.66000000000111,-31.726000000001108,0.066,BreakoutTrader,"{'L': 5, 'T': 1.8, 'SL': 20, 'TP': 40}"
BreakoutTrader_T1.8_SL20_TP50,BreakoutTrader_L5_T1.8_SL20_TP50,0.01,-3.861705600142416,-13.381804790863203,-0.8863315540722781,-0.0038755000000001,0.0043725172393942,0.1538461538461538,65,0.5581713503961625,4.896000000000003,-1.5948181818182026,-0.5962307692307863,-38.69000000000108,-38.75500000000108,0.065,BreakoutTrader,"{'L': 5, 'T': 1.8, 'SL': 20, 'TP': 50}"
