base_strategy,strategy_name,lot_size,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown,win_rate,n_trades,profit_factor,avg_win,avg_loss,expectancy,gross_pnl,net_pnl,total_commission,template,params,category
BreakoutTrader_T3.0_SL10_TP20,BreakoutTrader_L10_T3.0_SL10_TP20,0.01,0.0,0.0,-1.0,-0.0002002,0.0002002,0.0,2,0.0,0.0,-1.001,-1.001,-2.0,-2.002,0.002,BreakoutTrader,"{'L': 10, 'T': 3.0, 'SL': 10, 'TP': 20}",LOW (<50)
BreakoutTrader_T3.0_SL10_TP30,BreakoutTrader_L10_T3.0_SL10_TP30,0.01,0.0,0.0,-1.0,-0.0002002,0.0002002,0.0,2,0.0,0.0,-1.001,-1.001,-2.0,-2.002,0.002,BreakoutTrader,"{'L': 10, 'T': 3.0, 'SL': 10, 'TP': 30}",LOW (<50)
BreakoutTrader_T3.0_SL10_TP40,BreakoutTrader_L10_T3.0_SL10_TP40,0.01,0.0,0.0,-1.0,-0.0002002,0.0002002,0.0,2,0.0,0.0,-1.001,-1.001,-2.0,-2.002,0.002,BreakoutTrader,"{'L': 10, 'T': 3.0, 'SL': 10, 'TP': 40}",LOW (<50)
BreakoutTrader_T3.0_SL10_TP50,BreakoutTrader_L10_T3.0_SL10_TP50,0.01,0.0,0.0,-1.0,-0.0002002,0.0002002,0.0,2,0.0,0.0,-1.001,-1.001,-2.0,-2.002,0.002,BreakoutTrader,"{'L': 10, 'T': 3.0, 'SL': 10, 'TP': 50}",LOW (<50)
BreakoutTrader_T3.0_SL15_TP30,BreakoutTrader_L10_T3.0_SL15_TP30,0.01,0.0,0.0,-1.0,-0.0003002,0.0003002,0.0,2,0.0,0.0,-1.501,-1.501,-3.0,-3.002,0.002,BreakoutTrader,"{'L': 10, 'T': 3.0, 'SL': 15, 'TP': 30}",LOW (<50)
BreakoutTrader_T3.0_SL15_TP40,BreakoutTrader_L10_T3.0_SL15_TP40,0.01,0.0,0.0,-1.0,-0.0003002,0.0003002,0.0,2,0.0,0.0,-1.501,-1.501,-3.0,-3.002,0.002,BreakoutTrader,"{'L': 10, 'T': 3.0, 'SL': 15, 'TP': 40}",LOW (<50)
BreakoutTrader_T3.0_SL15_TP50,BreakoutTrader_L10_T3.0_SL15_TP50,0.1,0.0,0.0,-1.0,-0.003002,0.003002,0.0,2,0.0,0.0,-15.01,-15.01,-30.0,-30.02,0.02,BreakoutTrader,"{'L': 10, 'T': 3.0, 'SL': 15, 'TP': 50}",LOW (<50)
BreakoutTrader_T3.0_SL20_TP30,BreakoutTrader_L10_T3.0_SL20_TP30,0.01,0.0,0.0,-1.0,-0.0004002,0.0004002,0.0,2,0.0,0.0,-2.001,-2.001,-4.0,-4.002,0.002,BreakoutTrader,"{'L': 10, 'T': 3.0, 'SL': 20, 'TP': 30}",LOW (<50)
BreakoutTrader_T3.0_SL20_TP40,BreakoutTrader_L10_T3.0_SL20_TP40,0.01,0.0,0.0,-1.0,-0.0004002,0.0004002,0.0,2,0.0,0.0,-2.001,-2.001,-4.0,-4.002,0.002,BreakoutTrader,"{'L': 10, 'T': 3.0, 'SL': 20, 'TP': 40}",LOW (<50)
BreakoutTrader_T3.0_SL20_TP50,BreakoutTrader_L10_T3.0_SL20_TP50,0.01,0.0,0.0,-1.0,-0.0004002,0.0004002,0.0,2,0.0,0.0,-2.001,-2.001,-4.0,-4.002,0.002,BreakoutTrader,"{'L': 10, 'T': 3.0, 'SL': 20, 'TP': 50}",LOW (<50)
BreakoutTrader_T3.0_SL30_TP50,BreakoutTrader_L10_T3.0_SL30_TP50,0.01,0.0,0.0,-1.0,-0.0006002,0.0006002,0.0,2,0.0,0.0,-3.001,-3.001,-6.0,-6.002,0.002,BreakoutTrader,"{'L': 10, 'T': 3.0, 'SL': 30, 'TP': 50}",LOW (<50)
CorrelationTrader_T0.5_SL10_TP20,CorrelationTrader_L5_T0.5_SL10_TP20,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 5, 'T': 0.5, 'SL': 10, 'TP': 20}",LOW (<50)
CorrelationTrader_T0.5_SL10_TP30,CorrelationTrader_L5_T0.5_SL10_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 5, 'T': 0.5, 'SL': 10, 'TP': 30}",LOW (<50)
CorrelationTrader_T0.5_SL10_TP40,CorrelationTrader_L5_T0.5_SL10_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 5, 'T': 0.5, 'SL': 10, 'TP': 40}",LOW (<50)
CorrelationTrader_T0.5_SL10_TP50,CorrelationTrader_L5_T0.5_SL10_TP50,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 5, 'T': 0.5, 'SL': 10, 'TP': 50}",LOW (<50)
CorrelationTrader_T0.5_SL15_TP30,CorrelationTrader_L5_T0.5_SL15_TP30,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 5, 'T': 0.5, 'SL': 15, 'TP': 30}",LOW (<50)
CorrelationTrader_T0.5_SL15_TP40,CorrelationTrader_L5_T0.5_SL15_TP40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CorrelationTrader,"{'L': 5, 'T': 0.5, 'SL': 15, 'TP': 40}",LOW (<50)
