template,parameter,value,count,sharpe_mean,sharpe_median,pf_mean,wr_mean
MomentumBurst,CD,240,88,0.22073261483744633,0.22907345548763336,1.0385832963418233,48.497104165270564
MomentumBurst,CD,120,33,0.06332685124187613,0.0249399544221167,1.0112201180736118,46.26035666367878
MomentumBurst,CD,30,22,-0.22236063316603705,-0.23061008664814103,0.9626042661756767,44.94396560643347
MomentumBurst,CD,60,22,-0.10070705087570565,-0.11330376944685334,0.982946478560293,45.5923027869881
BreakoutTrader,L,5,11,-8.739406778565153,-7.853095271247734,0.3531378644585553,11.555076255720756
BreakoutTrader,L,20,11,-0.3878045525314582,-0.3916178804447977,0.925482334277105,40.94500346070266
BreakoutTrader,L,30,11,-0.5680534406246868,-0.5565487346646262,0.8994525473708745,37.158124925944406
MeanReverterV2,L,20,178,-0.39544747955503223,-0.3654744591231307,0.9299483183526128,50.10108727393371
MeanReverterV2,L,30,249,0.1315507025697425,0.1151920702124395,1.0226522719401865,30.0562251122384
MeanReverterV2,L,15,24,-0.6617938692741155,-0.628101712164695,0.876307767899975,51.69229099011813
MeanReverter,L,5,11,2.018905514425111,1.9931729758983363,1.3838595966456984,29.904258483953587
MeanReverter,L,20,11,-1.0318241245868551,-1.0205771974651947,0.8183240252610088,51.48329322915717
MeanReverter,L,30,11,-1.1749738944879644,-1.159027700377793,0.8062734535752739,44.06581119685241
MomentumBurst,L,20,66,0.03326484332952402,-0.0063711867272744005,1.0061298585464484,47.18180701078544
MomentumBurst,L,30,33,-0.03492626576392111,0.0760559992547871,0.9946498948159407,48.68827562463364
MomentumBurst,L,15,22,0.24610479673588087,0.2423822331557402,1.0430653247424087,48.80922551358553
MomentumBurst,L,10,77,0.10386890866903156,0.0249399544221167,1.0186734199109173,44.83728158091906
SessionBreakout,L,5,2,-1.0321607341045904,-1.0321607341045904,0.8611768729799536,22.469492409009177
SessionBreakout,L,20,3,-0.9714677098904749,-0.990141176629642,0.8782898201073485,30.537099605928386
SessionBreakout,L,30,4,-0.8597437744205667,-0.8371340055009006,0.8863393297727377,26.032501151602837
SessionBreakout,L,15,4,-0.8074174536190186,-0.807368647089676,0.8874302711752463,23.918523237040997
SessionBreakout,L,10,6,-0.8160830063367666,-0.8196107721888543,0.891033742717621,24.96994168890264
SessionBreakout,L,50,3,-0.7057171943187274,-0.6977026699571757,0.9095574524528794,32.95997581489758
TrendFollower,L,5,3,-0.06289426435384057,-0.0761649902385557,0.9891586478428117,36.487930424703976
TrendFollower,L,20,2,-0.013255977778446351,-0.013255977778446351,0.997672847409104,36.521818695521254
TrendFollower,L,30,2,-0.01585876495520385,-0.01585876495520385,0.997234294912343,36.53144517759925
TrendFollower,L,15,1,-0.011481911997021,-0.011481911997021,0.9979943616293075,36.52830780490355
TrendFollower,L,10,3,-0.05928148830106997,-0.0790179145914386,0.9897330203454637,36.47933952598395
MeanReverterV2,RSI,20-65,88,-0.7398446349292161,-0.7119735894464775,0.8854485754507576,34.67334893141585
MeanReverterV2,RSI,25-70,88,-0.41155002457325374,-0.48248675294213983,0.9275418502537608,40.64755031777504
MeanReverterV2,RSI,30-75,88,-0.11861244655018265,-0.1662601044287251,0.9765921530081937,47.425999010150214
MeanReverterV2,RSI,35-80,88,0.7073289514315771,0.7240828108834405,1.1069205492877698,31.236158705581808
BreakoutTrader,SL,10,12,-5.165270316184062,-0.6425824200486707,0.6573425140902939,27.182692692306876
BreakoutTrader,SL,15,9,-2.768850386178155,-0.5565487346646262,0.7215163731945505,29.47196163764856
BreakoutTrader,SL,20,9,-1.6377651267608382,-0.5064161387307874,0.7988823611097022,32.61038492587607
BreakoutTrader,SL,30,3,-1.6683763594248626,-0.4513494307839255,0.795700476450028,33.768939895547305
MeanReverterV2,SL,10,164,-0.1840106803450236,-0.32597817065544643,0.969813049434614,35.580213235589625
MeanReverterV2,SL,15,123,-0.19279164432331852,-0.3468094448340479,0.9656255040631991,41.37491646982953
MeanReverterV2,SL,20,123,0.035827638649594436,-0.0344766305591594,1.0036603911148465,39.564295134353
MeanReverterV2,SL,30,41,-0.09834768314772407,-0.0696288492301315,0.9739292096413324,45.16903837851819
MeanReverter,SL,10,12,-0.1372072795646587,-1.0739795048150964,1.0070171997320683,39.665825425557436
MeanReverter,SL,15,9,-0.18944368051414517,-1.0205771974651947,0.9731320607957356,41.28392773901953
MeanReverter,SL,20,9,0.002448910322527192,-0.993773283982794,1.0010236873336753,43.760793463583106
MeanReverter,SL,30,3,0.420874245117891,-0.9753097486951524,1.0804732334507585,46.19819869316058
MomentumBurst,SL,10,72,0.07355742520143463,0.062557948008798,1.0131380134320898,46.486171482571024
MomentumBurst,SL,15,54,0.07819269773617071,0.09990819389710556,1.0141336931743188,46.79895529013386
MomentumBurst,SL,20,54,0.06886787513297385,0.0880675437881442,1.0125843354304709,46.84104810487449
MomentumBurst,SL,30,18,0.06765104643371661,0.11829340741203631,1.0124776199275647,46.85674840437966
SessionBreakout,SL,10,8,-0.7198302903754722,-0.7096017310013378,0.8979855195148081,21.900756749225256
SessionBreakout,SL,15,6,-1.0237677820108189,-1.0069818778232755,0.8654931096348703,25.124589142238
SessionBreakout,SL,20,6,-0.8208032522125471,-0.7745659100508241,0.8959299000257661,31.598029133217697
SessionBreakout,SL,30,2,-0.9174753013358776,-0.9174753013358776,0.8873771048279856,34.756097560975604
TrendFollower,SL,10,4,-0.08391043394609538,-0.0813155991192458,0.9855138975163367,36.457844198877886
TrendFollower,SL,15,3,-0.011910935898946267,-0.011481911997021,0.9979221543276711,36.531102814064916
TrendFollower,SL,20,3,-0.015643598858375334,-0.0152132666647183,0.9972703177097478,36.53016462279097
TrendFollower,SL,30,1,-0.0179333153727067,-0.0179333153727067,0.9968506446594236,36.52146629712911
BreakoutTrader,T,1.8,11,-8.739406778565153,-7.853095271247734,0.3531378644585553,11.555076255720756
BreakoutTrader,T,2.5,11,-0.3878045525314582,-0.3916178804447977,0.925482334277105,40.94500346070266
BreakoutTrader,T,3.0,11,-0.5680534406246868,-0.5565487346646262,0.8994525473708745,37.158124925944406
MeanReverterV2,T,1.8,55,-0.064752013632252,-0.2014251613625594,0.9829816241376584,41.89731248197065
MeanReverterV2,T,2.5,55,-0.03465453780405169,-0.0055927361218674,0.9930486353255461,38.913695439618465
MeanReverterV2,T,3.0,11,-0.3279349093184516,-0.56426899352125,0.9584034532665012,31.775400795955534
MeanReverterV2,T,0.5,55,-0.2319137970034192,-0.4158001476936028,0.9599925409889349,38.8244292705472
MeanReverterV2,T,0.8,55,-0.2664026137510424,-0.3686300277760933,0.9536719633418588,39.343006421616806
MeanReverterV2,T,1.0,55,-0.15229607454590027,-0.3064710763870412,0.9739696738702456,36.66806462790908
MeanReverterV2,T,1.2,55,-0.08338545682048978,-0.2455201770665997,0.9844705528166544,37.57004222904921
MeanReverterV2,T,1.5,55,-0.040265839763007585,-0.2317039848535238,0.992798385202213,37.55121334832584
MeanReverterV2,T,2.0,55,-0.033771399061758196,-0.0450771137772133,0.989251439290333,43.651857321233415
MeanReverter,T,1.8,11,2.018905514425111,1.9931729758983363,1.3838595966456984,29.904258483953587
MeanReverter,T,2.5,11,-1.0318241245868551,-1.0205771974651947,0.8183240252610088,51.48329322915717
MeanReverter,T,3.0,11,-1.1749738944879644,-1.159027700377793,0.8062734535752739,44.06581119685241
MomentumBurst,T,1.8,22,0.20531422911075425,0.21362817770108938,1.0356565611442983,49.33600466427946
MomentumBurst,T,2.5,55,-0.02208010979871585,-0.0398619852067102,0.9961480987118839,43.78204571131059
MomentumBurst,T,3.0,11,0.20581021425006113,0.2077759000664471,1.0382522530398044,41.62004535819779
MomentumBurst,T,0.5,11,0.2193539031560622,0.2157767248617449,1.0383381441358952,49.0141618329436
MomentumBurst,T,0.8,11,0.23844198829671892,0.2384197892613466,1.0415496266227071,48.964653549362005
MomentumBurst,T,1.0,11,0.2728556903156995,0.2702665061480449,1.047792505348922,48.60428919422745
